,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TSLA,2014-01-02 00:00:00-05:00,9.986666679382324,10.165332794189453,9.770000457763672,10.006667137145996,92826000,0.0,0.0
TSLA,2014-01-03 00:00:00-05:00,10.0,10.145999908447266,9.90666675567627,9.970666885375977,70425000,0.0,0.0
TSLA,2014-01-06 00:00:00-05:00,10.0,10.026666641235352,9.682666778564453,9.800000190734863,80416500,0.0,0.0
TSLA,2014-01-07 00:00:00-05:00,9.841333389282227,10.026666641235352,9.683333396911621,9.957332611083984,75511500,0.0,0.0
TSLA,2014-01-08 00:00:00-05:00,9.923333168029785,10.24666690826416,9.917332649230957,10.085332870483398,92448000,0.0,0.0
TSLA,2014-01-09 00:00:00-05:00,10.166666984558105,10.228667259216309,9.789999961853027,9.835332870483398,80730000,0.0,0.0
TSLA,2014-01-10 00:00:00-05:00,9.897333145141602,9.926667213439941,9.483332633972168,9.714667320251465,111691500,0.0,0.0
TSLA,2014-01-13 00:00:00-05:00,9.718667030334473,9.800000190734863,9.187999725341797,9.28933334350586,94741500,0.0,0.0
TSLA,2014-01-14 00:00:00-05:00,9.366666793823242,10.800000190734863,9.111332893371582,10.751333236694336,414105000,0.0,0.0
TSLA,2014-01-15 00:00:00-05:00,11.229999542236328,11.482000350952148,10.80666732788086,10.942000389099121,306984000,0.0,0.0
TSLA,2014-01-16 00:00:00-05:00,10.833333015441895,11.513333320617676,10.826666831970215,11.39799976348877,179391000,0.0,0.0
TSLA,2014-01-17 00:00:00-05:00,11.345999717712402,11.546667098999023,11.196666717529297,11.333999633789062,138093000,0.0,0.0
TSLA,2014-01-21 00:00:00-05:00,11.416000366210938,11.81933307647705,11.387332916259766,11.778667449951172,146020500,0.0,0.0
TSLA,2014-01-22 00:00:00-05:00,11.854000091552734,12.021332740783691,11.650667190551758,11.904000282287598,105339000,0.0,0.0
TSLA,2014-01-23 00:00:00-05:00,11.815333366394043,12.158666610717773,11.561332702636719,12.100000381469727,118011000,0.0,0.0
TSLA,2014-01-24 00:00:00-05:00,11.856666564941406,12.031999588012695,11.5686674118042,11.640000343322754,114964500,0.0,0.0
TSLA,2014-01-27 00:00:00-05:00,11.677332878112793,11.861332893371582,10.980667114257812,11.307999610900879,130746000,0.0,0.0
TSLA,2014-01-28 00:00:00-05:00,11.433333396911621,11.932000160217285,11.399999618530273,11.892000198364258,91401000,0.0,0.0
