Date,BABA
2014-09-30,86.73611736297607
2014-10-31,87.62051093060037
2014-11-30,108.29730144299958
2014-12-31,103.21855995871805
2015-01-31,96.95999412536621
2015-02-28,84.00928296540913
2015-03-31,80.9642448425293
2015-04-30,80.56764184860955
2015-05-31,84.54145889282226
2015-06-30,83.90055604414506
2015-07-31,78.46340144764294
2015-08-31,71.10976428077335
2015-09-30,60.691656203497026
2015-10-31,68.9025093425404
2015-11-30,78.26072578430175
2015-12-31,80.40016070279208
2016-01-31,68.81249718917043
2016-02-29,62.80636558532715
2016-03-31,71.92441940307617
2016-04-30,75.94769359770275
2016-05-31,76.03783089773995
2016-06-30,74.78039516102184
2016-07-31,79.01497497558594
2016-08-31,88.84113145911175
2016-09-30,100.2182860601516
2016-10-31,100.59998612176804
2016-11-30,91.73213195800781
2016-12-31,86.61321658179874
2017-01-31,93.8391845703125
2017-02-28,98.58798940558182
2017-03-31,101.885428055473
2017-04-30,107.71226220381887
2017-05-31,116.57834833318537
2017-06-30,131.87489492242986
2017-07-31,144.84943542480468
2017-08-31,156.9892518416695
2017-09-30,167.788818359375
2017-10-31,171.9722574407404
2017-11-30,179.25636872791108
2017-12-31,167.67775650024413
2018-01-31,184.34447224934897
2018-02-28,178.77088125128495
2018-03-31,182.11314101446243
2018-04-30,169.22594124930245
2018-05-31,187.65993014248934
2018-06-30,195.17095293317522
2018-07-31,183.08946446010046
2018-08-31,170.98963729194972
2018-09-30,157.31656606573807
2018-10-31,142.01891758130944
2018-11-30,145.87465050106957
2018-12-31,140.27520390560753
2019-01-31,146.71117146809897
2019-02-28,166.53029672723068
2019-03-31,174.42257690429688
2019-04-30,178.9068618047805
2019-05-31,164.63038635253906
2019-06-30,156.08058700561523
2019-07-31,167.5829412286932
2019-08-31,160.65765658291903
2019-09-30,170.0235565185547
2019-10-31,165.63394231381625
2019-11-30,180.13106155395508
2019-12-31,199.29147266206286
2020-01-31,211.01333908807663
2020-02-29,208.28308346396997
2020-03-31,186.76925173672763
2020-04-30,194.9042213076637
2020-05-31,195.78388137817382
2020-06-30,211.86856772682884
2020-07-31,239.5420351895419
2020-08-31,256.47286914643786
2020-09-30,268.03699457077755
2020-10-31,292.66775790127843
2020-11-30,265.4301467895508
2020-12-31,246.02088026566938
2021-01-31,237.44964760228208
2021-02-28,251.78335892526727
2021-03-31,224.95765818720278
2021-04-30,224.70210702078683
2021-05-31,209.51534729003907
2021-06-30,209.48054018887606
2021-07-31,199.40736389160156
2021-08-31,173.97135162353516
2021-09-30,153.81262715657553
2021-10-31,158.38060724167596
2021-11-30,148.2462430681501
2021-12-31,116.54262324741909
