Date,JD
2014-05-31,21.664637565612793
2014-06-30,25.10428946358817
2014-07-31,26.426852226257324
2014-08-31,27.853866395496187
2014-09-30,26.473094758533296
2014-10-31,23.277952194213867
2014-11-30,23.342594648662367
2014-12-31,22.460934552279387
2015-01-31,22.93446683883667
2015-02-28,25.261547891717207
2015-03-31,26.866754271767356
2015-04-30,30.83871805100214
2015-05-31,31.494606304168702
2015-06-30,32.893122933127664
2015-07-31,31.131177035245027
2015-08-31,26.296050298781623
2015-09-30,23.427300771077473
2015-10-31,25.47231422771107
2015-11-30,27.237657165527345
2015-12-31,29.89724211259322
2016-01-31,25.608906996877568
2016-02-29,23.03815813064575
2016-03-31,24.961500601335004
2016-04-30,25.689738228207542
2016-05-31,22.15907314845494
2016-06-30,19.959518692710184
2016-07-31,20.280062198638916
2016-08-31,22.614295378975246
2016-09-30,24.531829379853747
2016-10-31,24.861452829270135
2016-11-30,23.856567836943128
2016-12-31,24.312080292474654
2017-01-31,25.51600742340088
2017-02-28,27.60480449074193
2017-03-31,29.12495696026346
2017-04-30,31.041515751888877
2017-05-31,36.59131917086515
2017-06-30,37.53948818553578
2017-07-31,39.52974987030029
2017-08-31,40.808407327403195
2017-09-30,39.4886474609375
2017-10-31,36.19345404885032
2017-11-30,36.641161600748696
2017-12-31,37.49702682495117
2018-01-31,43.42802774338495
2018-02-28,43.00559696398283
2018-03-31,40.66159075782413
2018-04-30,36.200328100295295
2018-05-31,34.30263744701039
2018-06-30,37.65672247750418
2018-07-31,34.94678097679501
2018-08-31,31.456285725469176
2018-09-30,24.762020512631064
2018-10-31,22.018465871396273
2018-11-30,20.68132682073684
2018-12-31,19.791818418000872
2019-01-31,21.249827430361794
2019-02-28,23.36766985843056
2019-03-31,26.59142103649321
2019-04-30,28.15791184561593
2019-05-31,26.316452026367188
2019-06-30,26.130214881896972
2019-07-31,28.985590414567426
2019-08-31,27.285001841458406
2019-09-30,28.38947172164917
2019-10-31,28.03768025273862
2019-11-30,30.667411041259765
2019-12-31,31.944579987298873
2020-01-31,36.55975614275251
2020-02-29,37.787598057797084
2020-03-31,37.65668227455833
2020-04-30,40.598870231991725
2020-05-31,45.756834983825684
2020-06-30,55.08378947864879
2020-07-31,58.49770545959473
2020-08-31,65.1226913815453
2020-09-30,71.41356622605096
2020-10-31,75.20551230690695
2020-11-30,81.14406929016113
2020-12-31,77.99693957242098
2021-01-31,85.44332644813939
2021-02-28,91.6820152684262
2021-03-31,80.83415487538214
2021-04-30,73.53765905471076
2021-05-31,67.75294036865235
2021-06-30,69.51862473921342
2021-07-31,68.34152712140765
2021-08-31,66.091120633212
2021-09-30,72.31680588495163
2021-10-31,73.97404370989118
2021-11-30,78.52916681198846
2021-12-31,69.6226566859654
