Date,BABA,MSTR,COIN,TSLA,PDD,PLTR,BIDU,JD
2013-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01,0.0,12.259142875671388,0.0,10.936793690636044,0.0,0.0,170.2671428862072,0.0
2014-02,0.0,12.799210598594264,0.0,13.734877184817666,0.0,0.0,166.7947355571546,0.0
2014-03,0.0,12.435380981082009,0.0,15.543111029125397,0.0,0.0,164.71142796107702,0.0
2014-04,0.0,11.044428598313104,0.0,13.885841369628906,0.0,0.0,155.5528564453125,0.0
2014-05,0.0,13.02638103848412,0.0,13.311619168236142,0.0,0.0,159.65857296898253,21.664637565612793
2014-06,0.0,14.210381008329843,0.0,14.643904731387185,0.0,0.0,175.7461903889974,25.10428946358817
2014-07,0.0,14.0928635597229,0.0,14.883060672066428,0.0,0.0,197.7731829556552,26.426852226257324
2014-08,0.0,13.917238053821382,0.0,17.039174397786457,0.0,0.0,216.4723823184059,27.853866395496187
2014-09,86.73611736297607,13.705999964759464,0.0,17.6607300894601,0.0,0.0,220.6738092331659,26.473094758533296
2014-10,87.62051093060037,14.668391227722168,0.0,15.95878261068593,0.0,0.0,216.7152172586192,23.277952194213867
2014-11,108.29730144299958,16.427315762168483,0.0,16.438877256293047,0.0,0.0,243.24052509508635,23.342594648662367
2014-12,103.21855995871805,16.45150019905784,0.0,14.57742417942394,0.0,0.0,230.22500055486503,22.460934552279387
2015-01,96.9599941253662,16.055099964141846,0.0,13.550366592407226,0.0,0.0,223.22250061035157,22.93446683883667
2015-02,84.00928296540913,17.644315920378034,0.0,14.044877303274054,0.0,0.0,210.91315901906867,25.261547891717207
2015-03,80.9642448425293,16.966409163041547,0.0,12.981212095780808,0.0,0.0,208.97499986128375,26.866754271767356
2015-04,80.56764184860955,17.3742858341762,0.0,14.107428505307151,0.0,0.0,212.1047610328311,30.83871805100214
2015-05,84.54145889282226,17.805399799346922,0.0,16.148033142089844,0.0,0.0,195.7290000915527,31.494606304168705
2015-06,83.90055604414506,17.63881813396107,0.0,17.133454582907937,0.0,0.0,205.8168182373047,32.893122933127664
2015-07,78.46340144764294,18.306590860540215,0.0,17.773303031921387,0.0,0.0,190.74363708496097,31.131177035245027
2015-08,71.10976428077335,21.034952617826917,0.0,16.30336498078846,0.0,0.0,160.57762073335192,26.296050298781623
2015-09,60.691656203497026,20.200237819126674,0.0,16.860412416004,0.0,0.0,141.99666559128534,23.427300771077473
2015-10,68.9025093425404,19.41050000624223,0.0,14.798848498951305,0.0,0.0,154.10272841020063,25.47231422771107
2015-11,78.26072578430175,17.448399925231932,0.0,14.72546682357788,0.0,0.0,201.0155014038086,27.237657165527345
2015-12,80.40016070279208,17.626454440030184,0.0,15.344787901098078,0.0,0.0,199.2618172385476,29.89724211259322
2016-01,68.81249718917043,15.54810539044832,0.0,13.637473708704896,0.0,0.0,170.1599988435444,25.608906996877568
2016-02,62.80636558532715,15.76254997253418,0.0,11.311333227157592,0.0,0.0,156.7240005493164,23.03815813064575
2016-03,71.92441940307617,17.14586353302002,0.0,14.409818172454834,0.0,0.0,182.5095450661399,24.961500601335004
2016-04,75.94769359770275,18.516618910289942,0.0,16.7306033543178,0.0,0.0,189.57190522693452,25.689738228207545
2016-05,76.03783089773995,18.393952142624627,0.0,14.442254111880349,0.0,0.0,171.91000075567337,22.15907314845494
2016-06,74.78039516102184,18.334772543473676,0.0,14.322606130079787,0.0,0.0,165.83954551003197,19.959518692710184
2016-07,79.01497497558594,18.16090030670166,0.0,14.891933250427249,0.0,0.0,162.97600021362305,20.280062198638916
2016-08,88.84113145911175,16.650217470915422,0.0,14.91562320875085,0.0,0.0,169.8569568136464,22.61429537897525
2016-09,100.2182860601516,16.90423801967076,0.0,13.483746029081798,0.0,0.0,186.0904758998326,24.531829379853747
2016-10,100.59998612176804,17.362571353004093,0.0,13.44555545988537,0.0,0.0,177.99761817568825,24.861452829270135
2016-11,91.7321319580078,19.437238148280553,0.0,12.61050810132708,0.0,0.0,166.7123819986979,23.856567836943128
2016-12,86.61321658179874,19.932762055169967,0.0,13.370190484183174,0.0,0.0,165.86857169015067,24.312080292474658
2017-01,93.8391845703125,20.081099891662596,0.0,15.954700088500976,0.0,0.0,175.77250213623046,25.51600742340088
2017-02,98.58798940558182,19.24731575815301,0.0,17.580736862985713,0.0,0.0,180.24578937731292,27.60480449074193
2017-03,101.885428055473,18.879000207652215,0.0,17.210434955099355,0.0,0.0,172.65695588485053,29.12495696026346
2017-04,107.71226220381888,18.675631774099248,0.0,20.3172281164872,0.0,0.0,177.18315766987047,31.041515751888877
2017-05,116.57834833318536,18.588681827891957,0.0,21.10160610892556,0.0,0.0,185.2159097844904,36.59131917086515
2017-06,131.87489492242986,18.45618178627708,0.0,24.38690913807262,0.0,0.0,180.58636474609375,37.53948818553578
2017-07,144.84943542480468,18.23404994010925,0.0,21.920333194732667,0.0,0.0,192.6964988708496,39.52974987030029
