US_Fed_Rate,European_Central_Bank_Rate,China_Central_Bank_Rate,crypto_Solana,crypto_Bitcoin,crypto_Cardano,crypto_XRP,crypto_Ethereum,crypto_Dogecoin,stock_BABA,stock_MSTR,stock_COIN,stock_TSLA,stock_PDD,stock_PLTR,stock_BIDU,stock_JD,US_Fed_Rate_change,European_Central_Bank_Rate_change,China_Central_Bank_Rate_change,crypto_Solana_change,crypto_Bitcoin_change,crypto_Cardano_change,crypto_XRP_change,crypto_Ethereum_change,crypto_Dogecoin_change,stock_BABA_change,stock_MSTR_change,stock_COIN_change,stock_TSLA_change,stock_PDD_change,stock_PLTR_change,stock_BIDU_change,stock_JD_change
0.125,0.25,5.3,0.0,594.03,0.0,0.01,0.0,80.2507,0.0,13.917238053821382,0.0,17.039174397786457,0.0,0.0,216.4723823184059,27.853866395496187,0.0,0.0,0.0,0.0,-69.82000000000005,0.0,-0.01,0.0,-51.84219999999999,0.0,-0.17562550590151815,0.0,2.1561137257200294,0.0,0.0,18.699199362750704,1.4270141692388627
0.125,0.25,5.3,0.0,461.08,0.0,0.01,0.0,50.9054,86.73611736297607,13.705999964759464,0.0,17.6607300894601,0.0,0.0,220.6738092331659,26.473094758533296,0.0,0.0,0.0,0.0,-132.95,0.0,0.0,0.0,-29.345299999999995,0.0,-0.21123808906191854,0.0,0.6215556916736418,0.0,0.0,4.20142691476002,-1.3807716369628906
0.125,0.25,5.3,0.0,483.79,0.0,0.01,0.0,44.4591,87.62051093060037,14.668391227722168,0.0,15.95878261068593,0.0,0.0,216.7152172586192,23.277952194213867,0.0,0.0,0.0,0.0,22.710000000000036,0.0,0.0,0.0,-6.446300000000001,0.8843935676243007,0.9623912629627043,0.0,-1.7019474787741693,0.0,0.0,-3.958591974546721,-3.195142564319429
0.125,0.25,5.1,0.0,615.5,0.0,0.0,0.0,35.0453,108.29730144299958,16.427315762168483,0.0,16.438877256293047,0.0,0.0,243.24052509508635,23.342594648662367,0.0,0.0,-0.20000000000000018,0.0,131.70999999999998,0.0,-0.01,0.0,-9.413800000000002,20.676790512399208,1.7589245344463151,0.0,0.48009464560711734,0.0,0.0,26.525307836467164,0.06464245444849936
0.125,0.25,5.1,0.0,618.75,0.0,0.0,0.0,23.7045,103.21855995871805,16.45150019905784,0.0,14.57742417942394,0.0,0.0,230.22500055486503,22.460934552279387,0.0,0.0,0.0,0.0,3.25,0.0,-0.01,0.0,-11.340799999999998,-5.078741484281537,0.024184436889356675,0.0,-1.8614530768691075,0.0,0.0,-13.015524540221321,-0.8816600963829799
0.125,0.25,5.1,0.0,537.43,0.0,0.01,0.0,14.9997,96.9599941253662,16.055099964141846,0.0,13.550366592407226,0.0,0.0,223.22250061035157,22.93446683883667,0.0,0.0,0.0,0.0,-81.32000000000005,0.0,0.0,0.0,-8.704799999999999,-6.258565833351852,-0.3964002349159941,0.0,-1.0270575870167136,0.0,0.0,-7.00249994451346,0.4735322865572833
0.125,0.25,5.1,0.0,446.72,0.0,0.0,0.0,26.6112,84.00928296540913,17.644315920378034,0.0,14.044877303274054,0.0,0.0,210.91315901906867,25.261547891717207,0.0,0.0,0.0,0.0,-90.70999999999992,0.0,-0.01,0.0,11.6115,-12.950711159957066,1.5892159562361883,0.0,0.4945107108668285,0.0,0.0,-12.309341591282902,2.327081052880537
0.125,0.25,5.1,0.0,364.77,0.0,0.0,0.0,27.3951,80.9642448425293,16.966409163041547,0.0,12.981212095780808,0.0,0.0,208.97499986128375,26.866754271767356,0.0,0.0,0.0,0.0,-81.95000000000005,0.0,-0.01,0.0,0.7838999999999992,-3.0450381228798307,-0.677906757336487,0.0,-1.063665207493246,0.0,0.0,-1.9381591577849235,1.6052063800501486
0.125,0.25,5.1,0.0,366.17,0.0,0.01,0.0,22.8304,80.56764184860955,17.3742858341762,0.0,14.107428505307151,0.0,0.0,212.1047610328311,30.83871805100214,0.0,0.0,0.0,0.0,1.400000000000034,0.0,0.0,0.0,-4.564699999999998,-0.39660299391974263,0.40787667113465176,0.0,1.126216409526343,0.0,0.0,3.129761171547358,3.971963779234784
0.125,0.25,4.6,0.0,342.1,0.0,0.02,0.0,20.3314,84.54145889282226,17.805399799346922,0.0,16.148033142089844,0.0,0.0,195.7290000915527,31.494606304168705,0.0,0.0,-0.5,0.0,-24.069999999999993,0.0,0.01,0.0,-2.4990000000000023,3.9738170442127085,0.43111396517072365,0.0,2.0406046367826924,0.0,0.0,-16.3757609412784,0.655888253166566
