Date,PDD
2018-07-31,24.097500324249268
2018-08-31,19.255652220352836
2018-09-30,23.85473683005885
2018-10-31,20.633043703825578
2018-11-30,20.69285692487444
2018-12-31,22.05368413423237
2019-01-31,25.83142852783203
2019-02-28,28.30947374042712
2019-03-31,26.490476244971866
2019-04-30,22.822857266380673
2019-05-31,21.77318174188787
2019-06-30,20.29000005722046
2019-07-31,20.507272807034578
2019-08-31,26.2004546252164
2019-09-30,34.10499992370605
2019-10-31,35.163043727045476
2019-11-30,39.56749992370605
2019-12-31,37.58904793148949
2020-01-31,38.67904735746838
2020-02-29,35.60105233443411
2020-03-31,35.200908487493344
2020-04-30,44.493333180745445
2020-05-31,58.035000038146975
2020-06-30,77.0527274391868
2020-07-31,85.79045521129261
2020-08-31,90.02761840820312
2020-09-30,81.33523813883464
2020-10-31,83.04227343472567
2020-11-30,126.25650024414062
2020-12-31,150.02545374090022
2021-01-31,171.95157824064555
2021-02-28,190.0836848208779
2021-03-31,148.6600000132685
2021-04-30,136.77523803710938
2021-05-31,126.36299896240234
2021-06-30,126.77863589200106
2021-07-31,104.35999879382905
2021-08-31,88.6236360723322
2021-09-30,99.18714323497954
2021-10-31,93.93904767717633
2021-11-30,84.68904731387184
2021-12-31,58.919523511614116
