Date,BIDU
2014-01-31,170.2671428862072
2014-02-28,166.7947355571546
2014-03-31,164.71142796107702
2014-04-30,155.5528564453125
2014-05-31,159.65857296898253
2014-06-30,175.7461903889974
2014-07-31,197.7731829556552
2014-08-31,216.4723823184059
2014-09-30,220.6738092331659
2014-10-31,216.71521725861922
2014-11-30,243.24052509508635
2014-12-31,230.22500055486506
2015-01-31,223.22250061035157
2015-02-28,210.91315901906867
2015-03-31,208.97499986128375
2015-04-30,212.1047610328311
2015-05-31,195.72900009155273
2015-06-30,205.8168182373047
2015-07-31,190.74363708496094
2015-08-31,160.57762073335192
2015-09-30,141.99666559128534
2015-10-31,154.10272841020063
2015-11-30,201.0155014038086
2015-12-31,199.2618172385476
2016-01-31,170.1599988435444
2016-02-29,156.7240005493164
2016-03-31,182.5095450661399
2016-04-30,189.57190522693452
2016-05-31,171.91000075567337
2016-06-30,165.83954551003197
2016-07-31,162.97600021362305
2016-08-31,169.8569568136464
2016-09-30,186.0904758998326
2016-10-31,177.99761817568825
2016-11-30,166.7123819986979
2016-12-31,165.86857169015067
2017-01-31,175.77250213623046
2017-02-28,180.24578937731292
2017-03-31,172.65695588485053
2017-04-30,177.18315766987047
2017-05-31,185.2159097844904
2017-06-30,180.58636474609375
2017-07-31,192.6964988708496
2017-08-31,224.67261140242866
2017-09-30,236.0605026245117
2017-10-31,256.5731818459251
2017-11-30,241.32476080031623
2017-12-31,234.6495002746582
2018-01-31,251.88333275204613
2018-02-28,237.1352643464741
2018-03-31,249.3866715204148
2018-04-30,231.59285699753534
2018-05-31,255.2327284379439
2018-06-30,259.83428882417223
2018-07-31,258.7780972435361
2018-08-31,223.80348006538722
2018-09-30,222.18736909565172
2018-10-31,198.94956439474353
2018-11-30,186.95904686337425
2018-12-31,170.93315686677633
2019-01-31,165.3990478515625
2019-02-28,169.85999900416323
2019-03-31,167.0761907668341
2019-04-30,172.4980941045852
2019-05-31,139.63999938964844
2019-06-30,113.88900032043458
2019-07-31,114.61590888283469
2019-08-31,101.83045439286666
2019-09-30,105.71350059509277
2019-10-31,103.79956552256708
2019-11-30,116.49600067138672
2019-12-31,121.82190559023903
2020-01-31,134.93999953497024
2020-02-29,130.25789642333984
2020-03-31,102.03181838989258
2020-04-30,100.49714261009579
2020-05-31,101.93149948120117
2020-06-30,117.75772753628817
2020-07-31,123.90818127718839
2020-08-31,124.49333263578869
2020-09-30,123.33142889113654
2020-10-31,129.81590860540217
2020-11-30,140.1345001220703
2020-12-31,174.8686384721236
2021-01-31,236.99684143066406
2021-02-28,293.8631591796875
2021-03-31,253.85391169009
2021-04-30,216.52714175269716
2021-05-31,191.20800170898437
2021-06-30,192.45000041614878
2021-07-31,178.12047613234748
2021-08-31,155.07000038840553
2021-09-30,159.98619006928942
2021-10-31,164.75333513532365
2021-11-30,159.61809576125373
2021-12-31,144.39571489606584
